Collection,Code,Description 1 ,Description 2 ,Dimension,Profile,Finish,Description 6,Description 7,Product Name,Format,Format 2,Width,Width in inch,Thickness,Thickness in inch,Grade,Construction,,Tone,Code.1
AGED,PDQ026,Arley Random Width Plank,"Aged French Oak, UKTR Compliant","70/135/220 x 20 x 0.6-2.20m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Hand Rolled Edges",Burnished Hardwax Oil Satin,Hand Polished Undulations ,Woodworks - Aged,Arley,Random Width Planks,Plank,70/135/220mm,2.75''/5.31''/8.5'',20mm,"3/4""",Rustic,2Ply Engineered,,,PDQ026
AGED,PDQCH05,Assier Chevron,"Aged French Oak, UKTR Compliant","90 x 20 x 595, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Burnished Hardwax Oil Satin,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Assier,Chevron   ,Chevron,90mm,3.5'',20mm,"3/4""",Rustic,2Ply Engineered,,Black,PDQCH05
AGED,PDQ005,Assier Extra Wide Plank,"Aged French Oak, UKTR Compliant","220 x 20 x 0.6-2.20m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Burnished Hardwax Oil Satin,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Assier,Extra Wide Plank ,Plank,220mm,"8.5""",20mm,"3/4""",Rustic,2Ply Engineered,,Black,PDQ005
AGED,PDQB005,Assier Herringbone,"Aged French Oak, UKTR Compliant","100 x 20 x 500, 2Ply Engineered","Grooved 3 Sides, Soft Rolled Edges",Burnished Hardwax Oil Satin,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Assier,Herringbone   ,Herringbone,100mm,"4""",20mm,"3/4""",Rustic,2Ply Engineered,,Black,PDQB005
AGED,PDQP005,Assier Parquet de Versailles ,"Aged French Oak, UKTR Compliant","980 x 20 x 980, 2Ply Engineered","Tongue & Grooved, Soft Rolled Edges",Burnished Hardwax Oil Satin,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Assier,Parquet De Versailles Panel,Parquet De Versailles,980mm,39'',20mm,"3/4""",Rustic,2Ply Engineered,,Black,PDQP005
AGED,PDQ024,Baslow Random Width Plank,"Aged French Oak, UKTR Compliant","70/135/220 x 20 x 0.6-2.20m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Organic Lacquer ,"Gently Worn, Skip Sawn, Scrubbed Knots ",Woodworks - Aged,Baslow,Random Width Planks,Plank,70/135/220mm,2.75''/5.31''/8.5'',20mm,"3/4""",Rustic,2Ply Engineered,,,PDQ024
AGED,PDQ025,Brantwood Random Width Plank,"Aged French Oak, UKTR Compliant","70/135/220 x 20 x 0.6-2.20m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Hand Rolled Edges",Organic Oil Super Matt,"Smooth Sanded, Gentle Undulations ",Woodworks - Aged,Brantwood,Random Width Planks,Plank,70/135/220mm,2.75''/5.31''/8.5'',20mm,"3/4""",Rustic,2Ply Engineered,,,PDQ025
AGED,PDQCH03,Champagney Chevron,"Aged French Oak, UKTR Compliant","90 x 20 x 595, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Burnished Hardwax Oil Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Champagney,Chevron   ,Chevron,90mm,3.5'',20mm,"3/4""",Rustic,2Ply Engineered,,Medium,PDQCH03
AGED,PDQ003,Champagney Extra Wide Plank,"Aged French Oak, UKTR Compliant","220 x 20 x 0.6-2.20m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Burnished Hardwax Oil Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Champagney,Extra Wide Plank ,Plank,220mm,"8.5""",20mm,"3/4""",Rustic,2Ply Engineered,,Medium,PDQ003
AGED,PDQB003,Champagney Herringbone,"Aged French Oak, UKTR Compliant","100 x 20 x 500, 2Ply Engineered","Grooved 3 Sides, Soft Rolled Edges",Burnished Hardwax Oil Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Champagney,Herringbone   ,Herringbone,100mm,"4""",20mm,"3/4""",Rustic,2Ply Engineered,,Medium,PDQB003
AGED,PDQP003,Champagney Parquet de Versailles ,"Aged French Oak, UKTR Compliant","980 x 20 x 980, 2Ply Engineered","Tongue & Grooved, Soft Rolled Edges",Burnished Hardwax Oil Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Champagney,Parquet De Versailles Panel,Parquet De Versailles,980mm,39'',20mm,"3/4""",Rustic,2Ply Engineered,,Medium,PDQP003
AGED,PDQCH07,Chevry Chevron,"Aged French Oak, UKTR Compliant","90 x 20 x 595, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Naked Skin Lacquer Super Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Chevry,Chevron   ,Chevron,90mm,3.5'',20mm,"3/4""",Rustic,2Ply Engineered,,Light,PDQCH07
AGED,PDQ007,Chevry Extra Wide Plank,"Aged French Oak, UKTR Compliant","220 x 20 x 0.6-2.20m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Naked Skin Lacquer Super Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Chevry,Extra Wide Plank ,Plank,220mm,"8.5""",20mm,"3/4""",Rustic,2Ply Engineered,,Neutral,PDQ007
AGED,PDQB007,Chevry Herringbone,"Aged French Oak, UKTR Compliant","100 x 20 x 500, 2Ply Engineered","Grooved 3 Sides, Soft Rolled Edges",Naked Skin Lacquer Super Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Chevry,Herringbone   ,Herringbone,100mm,"4""",20mm,"3/4""",Rustic,2Ply Engineered,,Light,PDQB007
